"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Pustulobairdia","Pustulobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,254.17,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Urobairdia","Urobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,251.3,31,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Acanthoscapha","Acanthoscapha","Arthropoda","Ostracoda","Podocopida","Beecherellidae",232,259.9,15,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Kerocythere","Kerocythere","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,247.2,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Bythocypris","Bythocypris","Arthropoda","Ostracoda","Podocopida","Bythocyprididae",175.6,254.17,12,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Covracythere","Covracythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",205.6,252.17,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Monoceratina","Monoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",174.1,259.9,77,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Patellacythere","Patellacythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",182.7,251.3,21,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Triassocythere","Triassocythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",232,254.17,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Triceratina","Triceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",201.3,247.2,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Triebacythere","Triebacythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",237,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Paracypris","Paracypris","Arthropoda","Ostracoda","Podocopida","Candonidae",180,254.17,61,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Dettermania","Dettermania","Arthropoda","Ostracoda","Podocopida","Covracytheridae",237,252.17,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Gemmanella","Gemmanella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Glorianella","Glorianella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Speluncella","Speluncella","Arthropoda","Ostracoda","Podocopida","Cytheridae",235,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Triassinella","Triassinella","Arthropoda","Ostracoda","Podocopida","Cytheridae",237,252.17,5,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Judahella","Judahella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,259.9,17,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Lutkevichinella","Lutkevichinella","Arthropoda","Ostracoda","Podocopida","Glorianellidae",235,247.2,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Hungarella","Hungarella","Arthropoda","Ostracoda","Podocopida","Healdiidae",189.6,252.17,26,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Simeonella","Simeonella","Arthropoda","Ostracoda","Podocopida","Limnocytheridae",221.5,247.2,16,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,1,1
"Aneisohealdia","Aneisohealdia","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",237,242,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Pulviella","Pulviella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",237,251.2,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Renngartenella","Renngartenella","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",221.5,251.3,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Spinocypris","Spinocypris","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",232,251.3,32,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Spinomicrocheilinella","Spinomicrocheilinella","Arthropoda","Ostracoda","Podocopida","Sigilliidae",232,259.9,27,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Microcaris","Microcaris","Arthropoda","Thylacocephala","Concavicarida","Microcarididae",212,247.2,2,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
