"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Pollicipes","Pollicipes","Arthropoda","Hexanauplia","Scalpelliformes","Pollicipedidae",70.6,109,18,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,3,2,2
"Ivoelepas","Ivoelepas","Arthropoda","Hexanauplia","Scalpelliformes","Titanolepadidae",70.6,105.3,3,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Levelepas","Levelepas","Arthropoda","Hexanauplia","Scalpelliformes","Titanolepadidae",70.6,83.5,1,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Titanolepas","Titanolepas","Arthropoda","Hexanauplia","Scalpelliformes","Titanolepadidae",70.6,99.6,3,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Zeugmatolepas","Zeugmatolepas","Arthropoda","Hexanauplia","Scalpelliformes","Zeugmatolepadidae",61.6,105.3,18,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,8,1,2
"Epibrachylepas","Epibrachylepas","Arthropoda","Hexanauplia","Sessilia","NO_FAMILY_SPECIFIED",70.6,83.5,1,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Pachydiadema","Pachydiadema","Arthropoda","Hexanauplia","Sessilia","NO_FAMILY_SPECIFIED",70.6,83.5,1,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Parabrachylepas","Parabrachylepas","Arthropoda","Hexanauplia","Sessilia","NO_FAMILY_SPECIFIED",70.6,83.5,1,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Eoverruca","Eoverruca","Arthropoda","Hexanauplia","Sessilia","Proverrucidae",70.6,83.5,4,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,4,1,1
"Verruca","Verruca","Arthropoda","Hexanauplia","Sessilia","Verrucidae",47.8,86.3,8,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,3,2,2
"Haumuriaegla","Haumuriaegla","Arthropoda","Malacostraca","Decapoda","Aeglidae",66,72.1,5,"epifaunal","stationary, attached","suspension","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,5,1,1
"Axiopsis","Axiopsis","Arthropoda","Malacostraca","Decapoda","Axiidae",41.3,105.3,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Callianassa","Callianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",23.03,113,66,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,16,6,5
"Calliax","Calliax","Arthropoda","Malacostraca","Decapoda","Callianassidae",66,86.3,4,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,4,1,2
"Comoxianassa","Comoxianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",70.6,83.5,1,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cowichianassa","Cowichianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",70.6,83.5,1,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Mesostylus","Mesostylus","Arthropoda","Malacostraca","Decapoda","Callianassidae",61.7,100.5,23,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,21,1,2
"Neocallichirus","Neocallichirus","Arthropoda","Malacostraca","Decapoda","Callianassidae",37.2,100.5,10,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Protocallianassa","Protocallianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",41.3,93.5,13,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,9,4,3
"Cancer","Cancer","Arthropoda","Malacostraca","Decapoda","Cancridae",23.03,100.5,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cancrinos","Cancrinos","Arthropoda","Malacostraca","Decapoda","Cancrinidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Carcineretes","Carcineretes","Arthropoda","Malacostraca","Decapoda","Carcineretidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,2
"Cenomanocarcinus","Cenomanocarcinus","Arthropoda","Malacostraca","Decapoda","Cenomanocarcinidae",66,109,20,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,3,3,2
"Eryma","Eryma","Arthropoda","Malacostraca","Decapoda","Erymidae",66,113,6,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","little or no carbonate load",1,3,3,2
"Avitelmessus","Avitelmessus","Arthropoda","Malacostraca","Decapoda","Dakoticancridae",66,100.5,18,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,18,1,2
"Dakoticancer","Dakoticancer","Arthropoda","Malacostraca","Decapoda","Dakoticancridae",66,100.5,12,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,12,3,3
"Tetracarcinus","Tetracarcinus","Arthropoda","Malacostraca","Decapoda","Dakoticancridae",66,83.6,8,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,2
"Annuntidiogenes","Annuntidiogenes","Arthropoda","Malacostraca","Decapoda","Diogenidae",66,105.3,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
