"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Wicherella","Wicherella","Arthropoda","Ostracoda","NO_ORDER_SPECIFIED","Progonocytheridae",180,190.8,9,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,8,1,1
"Cytherella","Cytherella","Arthropoda","Ostracoda","Platycopida","Cytherellidae",174.1,235,81,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,29,2,2
"Cytherelloidea","Cytherelloidea","Arthropoda","Ostracoda","Platycopida","Cytherellidae",174.1,208.5,60,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,19,4,3
"Platella","Platella","Arthropoda","Ostracoda","Platycopida","Cytherellidae",189.6,196.5,1,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Anisobairdia","Anisobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,247.2,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,10,1,1
"Bairdia","Bairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,1000,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,89,12,5
"Bairdiacypris","Bairdiacypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,277,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,2,1
"Bairdiacypristumida","Bairdiacypristumida","Arthropoda","Ostracoda","Podocopida","Bairdiidae",181,182.7,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Fabalicypris","Fabalicypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",189.6,265.1,148,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Isobythocypris","Isobythocypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",180,235,63,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,58,6,5
"Lobobairdia","Lobobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,254.17,67,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,5,1,2
"Ogmoconcha","Ogmoconcha","Arthropoda","Ostracoda","Podocopida","Healdiidae",174.1,242,98,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,56,8,4
"Ptychobairdia","Ptychobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",180,252.17,50,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,33,7,5
"Bythocypris","Bythocypris","Arthropoda","Ostracoda","Podocopida","Bythocyprididae",175.6,254.17,12,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Bythoceratina","Bythoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",174.1,208.5,15,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Monoceratina","Monoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",174.1,259.9,77,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,3,2
"Patellacythere","Patellacythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",182.7,251.3,21,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,7,1,3
"Striatojonesia","Striatojonesia","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",181,235,4,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,1,1
"Paracypris","Paracypris","Arthropoda","Ostracoda","Podocopida","Candonidae",180,254.17,61,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,16,2,5
"Cythere","Cythere","Arthropoda","Ostracoda","Podocopida","Cytheridae",181,182.7,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,1,1
"Acrocythere","Acrocythere","Arthropoda","Ostracoda","Podocopida","Cytheruridae",174.1,190.8,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
