"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Acanthochirana","Acanthochirana","Arthropoda","Malacostraca","Decapoda","Aegeridae",93.5,99.6,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Aeger","Aeger","Arthropoda","Malacostraca","Decapoda","Aegeridae",93.5,113,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Archaeochiapasa","Archaeochiapasa","Arthropoda","Malacostraca","Decapoda","Archaeochiapasidae",93.5,99.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Acanthaxius","Acanthaxius","Arthropoda","Malacostraca","Decapoda","Axiidae",99.6,105.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Axiopsis","Axiopsis","Arthropoda","Malacostraca","Decapoda","Axiidae",41.3,105.3,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,3,3,1
"Paraxiopsis","Paraxiopsis","Arthropoda","Malacostraca","Decapoda","Axiidae",99.6,105.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Plioaxius","Plioaxius","Arthropoda","Malacostraca","Decapoda","Axiidae",99.6,105.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Wilmingtonia","Wilmingtonia","Arthropoda","Malacostraca","Decapoda","Bucculentidae",93.5,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Callianassa","Callianassa","Arthropoda","Malacostraca","Decapoda","Callianassidae",23.03,113,69,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Mesostylus","Mesostylus","Arthropoda","Malacostraca","Decapoda","Callianassidae",61.7,100.5,28,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Neocallichirus","Neocallichirus","Arthropoda","Malacostraca","Decapoda","Callianassidae",33.9,100.5,12,"shallow infaunal","fast, motile","miner","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Callichimaera","Callichimaera","Arthropoda","Malacostraca","Decapoda","Callichimaeridae",89.3,99.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cancer","Cancer","Arthropoda","Malacostraca","Decapoda","Cancridae",23.03,100.5,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Cancrinos","Cancrinos","Arthropoda","Malacostraca","Decapoda","Cancrinidae",66,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Carcineretes","Carcineretes","Arthropoda","Malacostraca","Decapoda","Carcineretidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Carpopenaeus","Carpopenaeus","Arthropoda","Malacostraca","Decapoda","Carpopenaeidae",93.5,99.6,10,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cenomanocarcinus","Cenomanocarcinus","Arthropoda","Malacostraca","Decapoda","Cenomanocarcinidae",66,109,23,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,5,3,3
"Eryma","Eryma","Arthropoda","Malacostraca","Decapoda","Erymidae",66,113,8,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","little or no carbonate load",0,0,0,0
"Componocancer","Componocancer","Arthropoda","Malacostraca","Decapoda","Componocancridae",99.6,105.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Dawsonius","Dawsonius","Arthropoda","Malacostraca","Decapoda","Ctenochelidae",99.6,105.3,3,"deep infaunal","fast, motile","suspension","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,3,1,1
"Avitelmessus","Avitelmessus","Arthropoda","Malacostraca","Decapoda","Dakoticancridae",66,100.5,18,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Dakoticancer","Dakoticancer","Arthropoda","Malacostraca","Decapoda","Dakoticancridae",66,100.5,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Diaulax","Diaulax","Arthropoda","Malacostraca","Decapoda","Diaulacidae",83.6,125,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Annuntidiogenes","Annuntidiogenes","Arthropoda","Malacostraca","Decapoda","Diogenidae",66,105.3,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Paguristes","Paguristes","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,100.5,25,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Petrochirus","Petrochirus","Arthropoda","Malacostraca","Decapoda","Diogenidae",33.9,100.5,8,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Striadiogenes","Striadiogenes","Arthropoda","Malacostraca","Decapoda","Diogenidae",93.5,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Eodorippe","Eodorippe","Arthropoda","Malacostraca","Decapoda","Dorippidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Telamonocarcinus","Telamonocarcinus","Arthropoda","Malacostraca","Decapoda","Dorippidae",93.5,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,2
"Dromia","Dromia","Arthropoda","Malacostraca","Decapoda","Dromiidae",61.6,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Graptocarcinus","Graptocarcinus","Arthropoda","Malacostraca","Decapoda","Dynomenidae",66,113,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Palaeodromites","Palaeodromites","Arthropoda","Malacostraca","Decapoda","Dynomenidae",93.9,113,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Eogeryon","Eogeryon","Arthropoda","Malacostraca","Decapoda","Eogeryonidae",93.5,99.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Enoploclytia","Enoploclytia","Arthropoda","Malacostraca","Decapoda","Erymidae",56,105.3,11,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,1
"Palaeastacus","Palaeastacus","Arthropoda","Malacostraca","Decapoda","Erymidae",66,100.5,3,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,1
"Etyxanthosia","Etyxanthosia","Arthropoda","Malacostraca","Decapoda","Etyidae",93.9,105.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,2
"Feldmannia","Feldmannia","Arthropoda","Malacostraca","Decapoda","Etyidae",99.6,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Steorrosia","Steorrosia","Arthropoda","Malacostraca","Decapoda","Etyidae",99.6,113,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,4,2,1
"Xanthosia","Xanthosia","Arthropoda","Malacostraca","Decapoda","Etyidae",23.03,113,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Caloxanthus","Caloxanthus","Arthropoda","Malacostraca","Decapoda","Feldmanniidae",93.5,99.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Calteagalathea","Calteagalathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",66,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cretagalathea","Cretagalathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",93.9,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Galathea","Galathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",23.03,100.5,17,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,8,8,1
"Luisogalathea","Luisogalathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",83.6,105.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Paragalathea","Paragalathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",66,105.3,9,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Glyphea","Glyphea","Arthropoda","Malacostraca","Decapoda","Glypheidae",41.3,113,50,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,39,38,1
"Trachysoma","Trachysoma","Arthropoda","Malacostraca","Decapoda","Glypheidae",99.6,105.3,2,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,2
"Goniodromites","Goniodromites","Arthropoda","Malacostraca","Decapoda","Goniodromitidae",93.5,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Gourretia","Gourretia","Arthropoda","Malacostraca","Decapoda","Gourretiidae",66,100.5,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Homolopsis","Homolopsis","Arthropoda","Malacostraca","Decapoda","Homolidae",61.6,113,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,1
"Latheticocarcinus","Latheticocarcinus","Arthropoda","Malacostraca","Decapoda","Homolidae",47.8,113,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
