"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Discotropites","Discotropites","Mollusca","Cephalopoda","Ceratitida","Tropitidae",201.3,237,63,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,5,1,1
"Jovites","Jovites","Mollusca","Cephalopoda","Ceratitida","Tropitidae",201.3,237,17,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Margarites","Margarites","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Trochidae",182.7,232,4,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Loligosepia","Loligosepia","Mollusca","Cephalopoda","Loligosepiida","Loligosepiidae",180,208.5,10,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,1,1,1
"Cenoceras","Cenoceras","Mollusca","Cephalopoda","Nautilida","Cenoceratidae",170.3,242,139,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
"Proclydonautilus","Proclydonautilus","Mollusca","Cephalopoda","Nautilida","Clydonautilidae",201.3,237,55,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,12,3,2
"Gonionautilus","Gonionautilus","Mollusca","Cephalopoda","Nautilida","Gonionautilidae",201.3,212,5,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,5,1,1
"Grypoceras","Grypoceras","Mollusca","Cephalopoda","Nautilida","Grypoceratidae",201.3,252.17,32,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,5,4,1
"Yakutionautilus","Yakutionautilus","Mollusca","Cephalopoda","Nautilida","NO_FAMILY_SPECIFIED",205.6,215.56,6,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Paranautilus","Paranautilus","Mollusca","Cephalopoda","Nautilida","Paranautilidae",205.6,259.9,42,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,6,3,2
"Siberionautilus","Siberionautilus","Mollusca","Cephalopoda","Nautilida","Siberionautilidae",205.6,215.56,4,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Juvavionautilus","Juvavionautilus","Mollusca","Cephalopoda","Nautilida","Syringonautilidae",205.6,251.2,5,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,2,2,1
"Oxynautilus","Oxynautilus","Mollusca","Cephalopoda","Nautilida","Syringonautilidae",205.6,221.5,6,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,4,1,1
"Syringoceras","Syringoceras","Mollusca","Cephalopoda","Nautilida","Syringonautilidae",205.6,251.2,31,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Germanonautilus","Germanonautilus","Mollusca","Cephalopoda","Nautilida","Tainoceratidae",205.6,247.2,91,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Sibyllonautilus","Sibyllonautilus","Mollusca","Cephalopoda","Nautilida","Tainoceratidae",201.3,247.2,29,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,1,1,1
"Trematoceras","Trematoceras","Mollusca","Cephalopoda","Orthocerida","Orthoceratidae",205.6,251.3,52,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,3,1,1
"Rhacophyllites","Rhacophyllites","Mollusca","Cephalopoda","Phylloceratida","Discophyllitidae",189.6,242,57,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,27,2,8
"Tragorhacoceras","Tragorhacoceras","Mollusca","Cephalopoda","Phylloceratida","Discophyllitidae",205.6,221.5,6,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",1,2,1,2
"Phylloceras","Phylloceras","Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae",174.1,208.5,328,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","aragonite","moderate carbonate load",0,0,0,0
