"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Dardanus","Dardanus","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,66,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Diogenes","Diogenes","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Paguristes","Paguristes","Arthropoda","Malacostraca","Decapoda","Diogenidae",23.03,100.5,25,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Petrochirus","Petrochirus","Arthropoda","Malacostraca","Decapoda","Diogenidae",33.9,100.5,8,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Dromia","Dromia","Arthropoda","Malacostraca","Decapoda","Dromiidae",61.6,113,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Dromilites","Dromilites","Arthropoda","Malacostraca","Decapoda","Sphaerodromiidae",23.03,66,15,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Kierionopsis","Kierionopsis","Arthropoda","Malacostraca","Decapoda","Dromiidae",61.6,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Dromiopsis","Dromiopsis","Arthropoda","Malacostraca","Decapoda","Dynomenidae",33.9,72.1,24,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,3,2,1
"Kromtitis","Kromtitis","Arthropoda","Malacostraca","Decapoda","Dynomenidae",23.03,66,22,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Trechmannius","Trechmannius","Arthropoda","Malacostraca","Decapoda","Dynomenidae",61.6,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Nanomaja","Nanomaja","Arthropoda","Malacostraca","Decapoda","Epialtidae",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eriphia","Eriphia","Arthropoda","Malacostraca","Decapoda","Eriphiidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Enoploclytia","Enoploclytia","Arthropoda","Malacostraca","Decapoda","Erymidae",56,105.3,11,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Ethusa","Ethusa","Arthropoda","Malacostraca","Decapoda","Ethusidae",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Xanthosia","Xanthosia","Arthropoda","Malacostraca","Decapoda","Etyidae",23.03,113,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Corallicarcinus","Corallicarcinus","Arthropoda","Malacostraca","Decapoda","Euryplacidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Stoaplax","Stoaplax","Arthropoda","Malacostraca","Decapoda","Euryplacidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Acanthogalathea","Acanthogalathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",23.03,66,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Faxegalathea","Faxegalathea","Arthropoda","Malacostraca","Decapoda","Munidopsidae",47.8,66,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Galathea","Galathea","Arthropoda","Malacostraca","Decapoda","Galatheidae",23.03,100.5,17,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,2
"Palaeomunida","Palaeomunida","Arthropoda","Malacostraca","Decapoda","Galatheidae",23.03,66,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Glyphea","Glyphea","Arthropoda","Malacostraca","Decapoda","Glypheidae",41.3,113,50,"semi-infaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Amydrocarcinus","Amydrocarcinus","Arthropoda","Malacostraca","Decapoda","Goneplacidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Goneplax","Goneplax","Arthropoda","Malacostraca","Decapoda","Goneplacidae",23.03,66,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Pithonoton","Pithonoton","Arthropoda","Malacostraca","Decapoda","Goniodromitidae",61.6,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Palaeopinnixa","Palaeopinnixa","Arthropoda","Malacostraca","Decapoda","Hexapodidae",33.9,66,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Pinnixa","Pinnixa","Arthropoda","Malacostraca","Decapoda","Hexapodidae",61.6,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Stevea","Stevea","Arthropoda","Malacostraca","Decapoda","Hexapodidae",41.3,66,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Eohomola","Eohomola","Arthropoda","Malacostraca","Decapoda","Homolidae",61.6,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Homolopsis","Homolopsis","Arthropoda","Malacostraca","Decapoda","Homolidae",61.6,113,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Latheticocarcinus","Latheticocarcinus","Arthropoda","Malacostraca","Decapoda","Homolidae",47.8,113,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Homolodromia","Homolodromia","Arthropoda","Malacostraca","Decapoda","Homolodromiidae",38,83.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Gemmacarcinus","Gemmacarcinus","Arthropoda","Malacostraca","Decapoda","Leucosiidae",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Longusorbis","Longusorbis","Arthropoda","Malacostraca","Decapoda","Longusorbiidae",37.2,83.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Giulianolyreidus","Giulianolyreidus","Arthropoda","Malacostraca","Decapoda","Lyreididae",61.7,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Lyreidus","Lyreidus","Arthropoda","Malacostraca","Decapoda","Lyreididae",33.9,72.1,12,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Macroacaena","Macroacaena","Arthropoda","Malacostraca","Decapoda","Lyreididae",23.03,70.6,14,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Rogueus","Rogueus","Arthropoda","Malacostraca","Decapoda","Lyreididae",56,66,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Proterocarcinus","Proterocarcinus","Arthropoda","Malacostraca","Decapoda","Macropipidae",37.2,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Micromaia","Micromaia","Arthropoda","Malacostraca","Decapoda","Majidae",23.03,66,10,"epifaunal","fast, motile","grazer","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Branchioplax","Branchioplax","Arthropoda","Malacostraca","Decapoda","Mathildellidae",23.03,66,18,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Tehuacana","Tehuacana","Arthropoda","Malacostraca","Decapoda","Mathildellidae",23.03,66,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Stenocionops","Stenocionops","Arthropoda","Malacostraca","Decapoda","Mithracidae",33.9,100.5,2,"epifaunal","fast, motile","grazer","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eomunidopsis","Eomunidopsis","Arthropoda","Malacostraca","Decapoda","Munidopsidae",47.8,105.3,16,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Munidopsis","Munidopsis","Arthropoda","Malacostraca","Decapoda","Munidopsidae",41.3,83.6,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Necrocarcinus","Necrocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",61.6,113,16,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Dinochelus","Dinochelus","Arthropoda","Malacostraca","Decapoda","Nephropidae",47.8,70.6,9,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Homarus","Homarus","Arthropoda","Malacostraca","Decapoda","Nephropidae",47.8,109,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Hoploparia","Hoploparia","Arthropoda","Malacostraca","Decapoda","Nephropidae",47.8,113,63,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,4,4,4
"Metanephrops","Metanephrops","Arthropoda","Malacostraca","Decapoda","Nephropidae",56,83.6,9,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Nephrops","Nephrops","Arthropoda","Malacostraca","Decapoda","Nephropidae",56,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Oncopareia","Oncopareia","Arthropoda","Malacostraca","Decapoda","Nephropidae",33.9,113,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Actaeites","Actaeites","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Caprocancer","Caprocancer","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
