"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Glomerula","Glomerula","Annelida","Polychaeta","Sabellida","Sabellidae",70.6,113,14,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Diploconcha","Diploconcha","Annelida","Polychaeta","Sabellida","Serpulidae",66,83.6,17,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,7,1,1
"Filograna","Filograna","Annelida","Polychaeta","Sabellida","Serpulidae",70.6,83.5,1,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Pyrgopolon","Pyrgopolon","Annelida","Polychaeta","Sabellida","Serpulidae",61.6,93.5,6,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Rotularia","Rotularia","Annelida","Polychaeta","Sabellida","Serpulidae",41.3,100.5,40,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,4,1,1
"Serpula","Serpula","Annelida","Polychaeta","Sabellida","Serpulidae",47.8,100.5,43,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Filogranula","Filogranula","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",70.6,83.5,6,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
"Flucticularia","Flucticularia","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",83.5,85.8,1,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",1,1,1,1
"Hamulus","Hamulus","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",61.6,83.6,258,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,21,5,1
"Longitubus","Longitubus","Annelida","Polychaeta","Serpulimorpha","NO_FAMILY_SPECIFIED",66,83.5,4,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","high Mg calcite","moderate carbonate load",0,0,0,0
