"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Palaeocypridina","Palaeocypridina","Arthropoda","Ostracoda","Myodocopida","Cypridinidae",242,247.2,6,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,6,2,1
"Discoidella","Discoidella","Arthropoda","Ostracoda","Myodocopida","Polycopidae",242,259.9,16,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,6,1,1
"Polycope","Polycope","Arthropoda","Ostracoda","Myodocopida","Polycopidae",174.1,259.9,164,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,38,4,3
"Polycopsis","Polycopsis","Arthropoda","Ostracoda","Myodocopida","Polycopidae",242,247.2,1,"pelagic","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Triassicindivisia","Triassicindivisia","Arthropoda","Ostracoda","Palaeocopida","NO_FAMILY_SPECIFIED",242,251.3,5,"epifaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,1,1
"Bektasia","Bektasia","Arthropoda","Ostracoda","Platycopida","Cavellinidae",221.5,251.3,8,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,2,1
"Cavussurella","Cavussurella","Arthropoda","Ostracoda","Platycopida","Cavellinidae",205.6,247.2,7,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Orlovicavina","Orlovicavina","Arthropoda","Ostracoda","Platycopida","Cavellinidae",242,247.2,3,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,3,1
"Ussuricavina","Ussuricavina","Arthropoda","Ostracoda","Platycopida","Cavellinidae",242,247.2,2,"semi-infaunal","slow, motile","suspension","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,1
"Acratia","Acratia","Arthropoda","Ostracoda","Podocopida","Acratiidae",232,265.1,153,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,22,3,2
"Acratina","Acratina","Arthropoda","Ostracoda","Podocopida","Bairdiidae",242,259.9,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,2,2
"Anisobairdia","Anisobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,247.2,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Bairdia","Bairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,1000,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,99,18,4
"Bairdiacypris","Bairdiacypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",174.1,265.1,277,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,28,5,2
"Bairdiolites","Bairdiolites","Arthropoda","Ostracoda","Podocopida","Bairdiidae",201.3,254.17,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Ceratobairdia","Ceratobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",196.5,265.1,19,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Fabalicypris","Fabalicypris","Arthropoda","Ostracoda","Podocopida","Bairdiidae",189.6,265.1,148,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Kempfina","Kempfina","Arthropoda","Ostracoda","Podocopida","Bairdiidae",242,254.17,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Lobobairdia","Lobobairdia","Arthropoda","Ostracoda","Podocopida","Bairdiidae",182.7,254.17,67,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
