tiering,motility,feeding,protein,reproduction,mineralogy,physiology,geoplates,species,PTr_size,PTr_extProb,TrJ_size,TrJ_extProb,KPg_size,KPg_extProb,total_size
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,2.0,2.0,1.0,1.0,0.0,8.0,0.875,11.0
epifaunal,"slow, motile",grazer,other,intermediate,high Mg calcite,moderate carbonate load,1.0,1.0,1.0,1.0,1.0,0.5,8.0,0.375,10.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,2.0,0.0,,1.0,0.5,9.0,0.5555555555555556,10.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,2.0,2.0,0.0,,0.0,,10.0,1.0,10.0
epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,1.0,2.0,6.0,0.3333333333333333,3.0,0.6666666666666666,1.0,0.0,10.0
epifaunal,"facultative, unattached",suspension,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,1.0,6.0,0.5,4.0,1.0,0.0,,10.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,2.0,1.0,1.0,1.0,2.0,0.5,6.0,0.8333333333333334,9.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,1.0,4.0,6.0,0.8333333333333334,2.0,0.5,1.0,1.0,9.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,1.0,1.0,0.0,,3.0,0.6666666666666666,6.0,0.3333333333333333,9.0
epifaunal,"slow, motile",surface deposit,other,intermediate,high Mg calcite,heavy carbonate load,1.0,1.0,0.0,,5.0,0.2,3.0,0.5,8.0
epifaunal,"slow, motile",surface deposit,hemocyanin,intermediate,bimineralic,moderate carbonate load,1.0,1.0,8.0,1.0,0.0,,0.0,,8.0
semi-infaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,8.0
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,3.0,0.0,,0.5,0.0,7.0,0.42857142857142855,7.5
epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,2.0,2.0,3.0,0.3333333333333333,4.0,0.5,0.0,,7.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,3.0,3.0,6.0,0.8333333333333334,1.0,1.0,0.0,,7.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,4.0,0.0,,4.0,0.75,3.0,0.6666666666666666,7.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,1.0,0.0,,0.0,,7.0,0.7142857142857143,7.0
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,3.0,0.0,,0.0,,7.0,0.8571428571428571,7.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,3.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,7.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,heavy carbonate load,1.0,1.0,3.0,0.0,3.0,1.0,0.0,,6.0
epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,2.0,1.0,3.0,0.6666666666666666,3.0,1.0,0.0,,6.0
epifaunal,"facultative, attached",surface deposit,other,intermediate,high Mg calcite,little or no carbonate load,1.0,1.0,1.0,0.0,2.0,0.5,3.0,0.3333333333333333,6.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,2.0,2.0,0.0,,1.0,1.0,5.0,0.4,6.0
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,2.0,1.0,1.0,3.0,0.6666666666666666,2.0,0.5,6.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,5.0,0.0,,0.0,,6.0,0.6666666666666666,6.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,1.0,1.0,2.0,0.5,3.0,0.0,6.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,5.0,0.0,,0.0,,6.0,0.8333333333333334,6.0
epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load,1.0,2.0,0.0,,0.0,,6.0,0.6666666666666666,6.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,2.0,4.0,1.0,2.0,1.0,0.0,,6.0
epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load,2.0,2.0,0.0,,0.0,,6.0,0.3333333333333333,6.0
semi-infaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.3333333333333333,6.0
epifaunal,"stationary, unattached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,1.0,1.0,4.0,0.75,1.0,1.0,1.0,0.0,6.0
deep infaunal,"facultative, unattached",symbionts,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,0.0,,2.0,0.5,4.0,0.0,6.0
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,2.0,1.0,0.0,,2.5,0.6,3.0,0.16666666666666666,5.5
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,3.0,0.0,,3.5,0.2857142857142857,2.0,0.5,5.5
shallow infaunal,"slow, motile",miner,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,1.0,0.0,,1.0,0.0,4.0,0.5,5.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0
shallow infaunal,"slow, motile",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,0.0,,4.0,0.25,1.0,1.0,5.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,8.0,1.0,1.0,0.0,,4.0,1.0,5.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,2.0,2.0,0.5,3.0,1.0,0.0,,5.0
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,bimineralic,moderate carbonate load,1.0,1.0,1.0,0.0,3.0,0.3333333333333333,1.0,0.0,5.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,2.0,1.0,4.0,1.0,0.0,,1.0,0.0,5.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,2.0,4.0,1.0,1.0,4.0,0.75,0.0,,5.0
epifaunal,"slow, motile",surface deposit,other,intermediate,high Mg calcite,moderate carbonate load,1.0,1.0,0.0,,0.0,,5.0,0.4,5.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,3.0,2.0,0.5,3.0,1.0,0.0,,5.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,3.0,3.0,2.0,1.0,3.0,1.0,0.0,,5.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,1.0,0.0,,2.0,0.5,3.0,0.6666666666666666,5.0
epifaunal,"slow, motile",predator,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,1.0,1.0,0.0,0.0,,3.5,0.5714285714285714,4.5
