tiering,motility,feeding,protein,reproduction,mineralogy,physiology,geoplates,species,PTr_size,PTr_extProb,TrJ_size,TrJ_extProb,KPg_size,KPg_extProb,total_size
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,4.0,0.0,,2.5,0.6,0.0,,2.5
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,5.0,3.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,5.0,5.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,5.0,4.0,1.0,0.0,0.0,,1.0,0.0,2.0
semi-infaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,3.0,1.0,0.0,0.0,,1.0,1.0,2.0
semi-infaunal,"stationary, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,2.0,0.0,,2.0,1.0,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,4.0,8.0,1.0,1.0,1.0,1.0,0.0,,2.0
epifaunal,"facultative, unattached",predator,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,2.0
shallow infaunal,"slow, motile",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,2.0,0.0,,2.0,0.0,0.0,,2.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,4.0,14.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"facultative, attached",suspension,other,intermediate,high Mg calcite,little or no carbonate load,2.0,2.0,0.0,,2.0,0.0,0.0,,2.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,3.0,4.0,0.0,,0.0,,2.0,0.0,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,3.0,6.0,1.0,1.0,0.0,,1.0,0.0,2.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,3.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"facultative, attached",suspension,other,intermediate,high Mg calcite,little or no carbonate load,1.0,1.0,0.0,,2.0,1.0,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,4.0,2.0,2.0,1.0,0.0,,0.0,,2.0
shallow infaunal,"facultative, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,3.0,0.0,,0.0,,2.0,0.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,2.0,3.0,2.0,0.5,0.0,,0.0,,2.0
epifaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,2.0,1.0,0.0,,1.0,0.0,1.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,3.0,3.0,1.0,0.0,1.0,0.0,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,3.0,1.0,1.0,1.0,0.0,,1.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load,1.0,1.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,2.0,3.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,2.0,5.0,1.0,0.0,1.0,0.0,0.0,,2.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,5.0,6.0,0.0,,0.0,,2.0,1.0,2.0
shallow infaunal,"slow, motile",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,3.0,0.0,,2.0,0.5,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,moderate carbonate load,2.0,1.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,heavy carbonate load,3.0,1.0,2.0,1.0,0.0,,0.0,,2.0
erect,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,2.0,2.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"slow, motile",predator,other,intermediate,high Mg calcite,heavy carbonate load,3.0,3.0,0.0,,0.0,,2.0,0.0,2.0
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,bimineralic,moderate carbonate load,1.0,2.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,4.0,0.0,,0.0,,2.0,0.5,2.0
epifaunal,"facultative, attached",surface deposit,other,intermediate,high Mg calcite,little or no carbonate load,1.0,2.0,0.0,,2.0,0.5,0.0,,2.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,3.0,3.0,0.0,,0.0,,2.0,0.5,2.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,3.0,2.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,heavy carbonate load,2.0,3.0,1.0,1.0,1.0,1.0,0.0,,2.0
semi-infaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,2.0
pelagic,"fast, motile",predator,hemoglobin,intermediate,soft-bodied,little or no carbonate load,2.0,1.0,1.0,0.0,1.0,1.0,0.0,,2.0
epifaunal,"slow, motile",predator,other,intermediate,high Mg calcite,heavy carbonate load,2.0,1.0,0.0,,0.0,,2.0,0.0,2.0
deep infaunal,"slow, motile",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,2.0
epifaunal,"slow, motile",predator,other,intermediate,high Mg calcite,heavy carbonate load,2.0,2.0,0.0,,0.0,,2.0,0.75,2.0
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,4.0,5.0,0.0,,0.0,,2.0,0.5,2.0
deep infaunal,"facultative, unattached",symbionts,hemocyanin,broadcaster,aragonite,moderate carbonate load,5.0,4.0,0.0,,0.0,,2.0,0.5,2.0
pelagic,"fast, motile",predator,hemoglobin,intermediate,soft-bodied,little or no carbonate load,3.0,1.0,1.0,0.0,1.0,1.0,0.0,,2.0
epifaunal,"facultative, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,4.0,2.0,0.0,,1.0,0.0,1.0,0.0,2.0
pelagic,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,2.0
deep infaunal,"facultative, unattached",symbionts,hemocyanin,broadcaster,aragonite,moderate carbonate load,2.0,1.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"facultative, unattached",suspension,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,2.0,2.0,0.5,0.0,,0.0,,2.0
epifaunal,"slow, motile",predator,other,intermediate,high Mg calcite,moderate carbonate load,1.0,1.0,0.0,,1.0,0.5,1.0,1.0,2.0
shallow infaunal,"slow, motile",predator,hemocyanin,broadcaster,aragonite,moderate carbonate load,2.0,3.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,2.0,7.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"stationary, unattached",suspension,hemocyanin,intermediate,bimineralic,moderate carbonate load,1.0,1.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,3.0,8.0,0.0,,0.0,,2.0,0.5,2.0
semi-infaunal,"facultative, unattached",miner,other,intermediate,high Mg calcite,moderate carbonate load,3.0,1.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"slow, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,3.0,7.0,0.0,,0.0,,2.0,0.5,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,3.0,2.0,0.0,,0.0,,2.0,0.0,2.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,2.0,1.0,1.0,0.0,,1.0,0.0,2.0
epifaunal,"slow, motile",surface deposit,other,intermediate,high Mg calcite,heavy carbonate load,1.0,2.0,0.0,,0.0,,2.0,0.5,2.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,5.0,3.0,0.0,,0.0,,2.0,1.0,2.0
semi-infaunal,"facultative, unattached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,1.0,0.0,,0.0,,2.0,0.5,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,4.0,3.0,1.0,1.0,0.0,,1.0,0.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,1.0,3.0,0.0,,1.0,0.0,1.0,1.0,2.0
epifaunal,"stationary, unattached",suspension,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,2.0,0.0,,2.0,0.5,0.0,,2.0
semi-infaunal,"facultative, unattached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,2.0,0.0,,1.0,1.0,1.0,1.0,2.0
epifaunal,"slow, motile",surface deposit,other,broadcaster,high Mg calcite,heavy carbonate load,1.0,1.0,2.0,0.0,0.0,,0.0,,2.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,6.0,1.0,1.0,1.0,1.0,0.0,,2.0
epifaunal,"slow, motile",predator,hemocyanin,intermediate,aragonite,moderate carbonate load,4.0,6.0,0.0,,1.0,0.0,1.0,0.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,6.0,2.0,0.5,0.0,,0.0,,2.0
pelagic,"fast, motile",predator,hemoglobin,intermediate,soft-bodied,little or no carbonate load,1.0,2.0,0.0,,2.0,1.0,0.0,,2.0
epifaunal,"slow, motile",predator,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,3.0,1.0,1.0,0.0,,1.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,1.0,2.0,0.0,,2.0,1.0,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,heavy carbonate load,1.0,3.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,1.0,5.0,1.0,1.0,1.0,1.0,0.0,,2.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,3.0,2.0,1.0,0.0,1.0,1.0,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,4.0,0.0,,2.0,1.0,0.0,,2.0
epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,4.0,10.0,2.0,0.0,0.0,,0.0,,2.0
shallow infaunal,"fast, motile",miner,hemocyanin,non-broadcaster,chitin,moderate carbonate load,2.0,1.0,0.0,,0.0,,2.0,0.5,2.0
shallow infaunal,"facultative, attached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,2.0,1.0,0.0,1.0,0.0,0.0,,2.0
epifaunal,"slow, motile",predator,hemocyanin,intermediate,aragonite,moderate carbonate load,3.0,4.0,0.0,,0.0,,2.0,0.5,2.0
epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load,2.0,1.0,0.0,,0.0,,2.0,1.0,2.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,1.0,2.0,0.0,,1.0,0.0,1.0,0.0,2.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,4.0,1.0,0.0,,0.0,,2.0,0.5,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,5.0,0.0,,1.0,1.0,1.0,1.0,2.0
epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load,3.0,3.0,0.0,,0.0,,2.0,0.5,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,2.0,6.0,0.0,,2.0,0.0,0.0,,2.0
epifaunal,"slow, motile",predator,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,5.0,0.0,,0.0,,2.0,0.5,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,2.0,5.0,1.0,0.0,1.0,1.0,0.0,,2.0
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,5.0,0.0,,2.0,0.5,0.0,,2.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,2.0,5.0,0.0,,2.0,1.0,0.0,,2.0
epifaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,3.0,2.0,1.0,0.0,0.0,,1.0,0.0,2.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,2.0
shallow infaunal,"facultative, unattached",surface deposit,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,1.0,0.0,,0.0,,2.0,1.0,2.0
shallow infaunal,"facultative, unattached",surface deposit,hemocyanin,broadcaster,aragonite,moderate carbonate load,2.0,1.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"facultative, unattached",suspension,hemocyanin,intermediate,aragonite,moderate carbonate load,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,2.0,2.0,1.0,1.0,1.0,1.0,0.0,,2.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,3.0,4.0,0.0,,0.0,,2.0,1.0,2.0
erect,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,3.0,3.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,3.0,1.0,1.0,0.0,,1.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,2.0,3.0,1.0,1.0,1.0,1.0,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,1.0,3.0,0.0,,1.0,1.0,1.0,0.0,2.0
epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,2.0,1.0,2.0,1.0,0.0,,0.0,,2.0
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,3.0,3.0,0.0,,0.0,,2.0,0.0,2.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,9.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,2.0,4.0,2.0,1.0,0.0,,0.0,,2.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,3.0,2.0,0.0,,0.0,,2.0,1.0,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,4.0,1.0,0.0,,2.0,1.0,0.0,,2.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,4.0,4.0,0.0,,0.0,,2.0,0.5,2.0
shallow infaunal,"facultative, unattached",miner,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,6.0,7.0,0.0,,2.0,0.5,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,11.0,1.0,0.0,1.0,1.0,0.0,,2.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,phosphatic,little or no carbonate load,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,2.0
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,aragonite,moderate carbonate load,3.0,3.0,0.0,,0.0,,1.5,0.6666666666666666,1.5
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,4.0,0.0,,0.5,0.0,1.0,0.0,1.5
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,3.0,0.0,,1.5,0.3333333333333333,0.0,,1.5
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,5.0,3.0,0.0,,0.5,1.0,1.0,0.0,1.5
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,4.0,3.0,0.0,,0.5,1.0,1.0,0.0,1.5
epifaunal,"slow, motile",grazer,other,intermediate,high Mg calcite,moderate carbonate load,2.0,4.0,0.0,,0.0,,1.5,0.0,1.5
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,3.0,0.0,,0.5,1.0,1.0,1.0,1.5
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,7.0,6.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,5.0,7.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,4.0,0.0,,1.0,1.0,0.0,,1.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,7.0,5.0,0.0,,1.0,0.0,0.0,,1.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,6.0,3.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,5.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,4.0,7.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",symbionts,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,8.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,5.0,5.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,5.0,3.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,2.0,1.0,0.0,,1.0,0.0,0.0,,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,2.0,1.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,4.0,7.0,0.0,,0.0,,1.0,1.0,1.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,3.0,3.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, unattached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,9.0,9.0,0.0,,1.0,1.0,0.0,,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,16.0,9.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, unattached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,2.0,2.0,0.0,,1.0,0.0,0.0,,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,16.0,6.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, unattached",suspension,hemocyanin,intermediate,bimineralic,moderate carbonate load,2.0,3.0,0.0,,0.0,,1.0,1.0,1.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,2.0,3.0,0.0,,0.0,,1.0,1.0,1.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,2.0,4.0,0.0,,0.0,,1.0,0.0,1.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,4.0,1.0,0.0,,0.0,,1.0,0.0,1.0
epifaunal,"stationary, unattached",suspension,hemerythrin,broadcaster,aragonite,heavy carbonate load,1.0,5.0,0.0,,0.0,,1.0,1.0,1.0
erect,"facultative, attached",suspension,other,broadcaster,high Mg calcite,heavy carbonate load,4.0,8.0,0.0,,0.0,,1.0,0.0,1.0
erect,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",suspension,hemerythrin,broadcaster,bimineralic,heavy carbonate load,1.0,2.0,0.0,,0.0,,1.0,0.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,14.0,14.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,1.0,2.0,0.0,,1.0,0.5,0.0,,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,14.0,4.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,13.0,5.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, unattached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",symbionts,hemocyanin,broadcaster,bimineralic,heavy carbonate load,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,3.0,10.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,phosphatic,little or no carbonate load,3.0,1.0,0.0,,1.0,1.0,0.0,,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,2.0,8.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,3.0,3.0,0.0,,1.0,1.0,0.0,,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,3.0,5.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,intermediate,aragonite,moderate carbonate load,3.0,2.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,1.0,2.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,1.0,0.0,,0.0,,1.0,0.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,29.0,62.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,17.0,11.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,2.0,3.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,3.0,3.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,4.0,1.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,5.0,6.0,0.0,,0.0,,1.0,0.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,moderate carbonate load,21.0,10.0,0.0,,0.0,,1.0,0.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,5.0,10.0,0.0,,0.0,,1.0,1.0,1.0
epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,chitin,moderate carbonate load,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,2.0,0.0,,1.0,0.5,0.0,,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,5.0,4.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,6.0,3.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,1.0,3.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,13.0,27.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,13.0,28.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,14.0,40.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,gorgonin,little or no carbonate load,2.0,1.0,0.0,,0.0,,1.0,0.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,heavy carbonate load,1.0,3.0,0.0,,1.0,1.0,0.0,,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,high Mg calcite,heavy carbonate load,3.0,4.0,0.0,,1.0,1.0,0.0,,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,low Mg calcite,heavy carbonate load,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,1.0,4.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,6.0,4.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,1.0,5.0,0.0,,1.0,1.0,0.0,,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,2.0,5.0,0.0,,0.0,,1.0,1.0,1.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,silica,little or no carbonate load,2.0,6.0,0.0,,0.0,,1.0,1.0,1.0
