phylum,class,order,family,genus,range_min,range_max,extinct,t_occurrences,e_occurrences,species,geoplates,tiering,motility,feeding,protein,reproduction,mineralogy,physiology
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Ceratobairdia,196.5,265.1,0,19,0,0,0,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Dicerobairdia,201.3,235,1,5,2,1,2,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Fabalicypris,189.6,265.1,0,148,0,0,0,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Hiatobairdia,201.3,232,1,5,2,2,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Isobythocypris,182,235,0,63,0,0,0,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Lobobairdia,182.7,254.17,0,67,4,2,2,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Nodobairdia,201.3,237,1,6,1,1,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Ptychobairdia,182,252.17,0,50,3,2,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Pustulobairdia,196.5,254.17,0,10,0,0,0,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
Arthropoda,Ostracoda,Podocopida,Bairdiidae,Urobairdia,201.3,251.3,1,31,5,2,1,epifaunal,"slow, motile",surface deposit,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load
