phylum,class,order,family,genus,range_min,range_max,extinct,t_occurrences,e_occurrences,species,geoplates,tiering,motility,feeding,protein,reproduction,mineralogy,physiology
Arthropoda,Hexanauplia,Scalpelliformes,Titanolepadidae,Levelepas,70.6,83.5,1,1,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,Scalpelliformes,Titanolepadidae,Titanolepas,70.6,99.6,1,3,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,Scalpelliformes,Zeugmatolepadidae,Zeugmatolepas,61.6,99.6,0,11,8,1,2,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,Sessilia,NO_FAMILY_SPECIFIED,Epibrachylepas,70.6,83.5,1,1,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,Sessilia,NO_FAMILY_SPECIFIED,Pachydiadema,70.6,83.5,1,1,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,Sessilia,NO_FAMILY_SPECIFIED,Parabrachylepas,70.6,83.5,1,1,1,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,Sessilia,Proverrucidae,Eoverruca,70.6,83.5,1,4,4,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Hexanauplia,Sessilia,Verrucidae,Verruca,47.8,86.3,0,8,3,2,2,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,aragonite,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Aeglidae,Haumuriaegla,66,72.1,1,5,5,1,1,epifaunal,"stationary, attached",suspension,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassa,23.03,100.5,0,63,16,6,5,shallow infaunal,"fast, motile",miner,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Callianassidae,Calliax,66,86.3,1,4,4,1,2,shallow infaunal,"fast, motile",miner,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Callianassidae,Comoxianassa,70.6,83.5,1,1,1,1,1,shallow infaunal,"fast, motile",miner,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Callianassidae,Cowichianassa,70.6,83.5,1,1,1,1,1,shallow infaunal,"fast, motile",miner,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Callianassidae,Mesostylus,61.7,100.5,0,23,21,1,2,shallow infaunal,"fast, motile",miner,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Callianassidae,Neocallichirus,37.2,83.5,0,9,1,1,1,shallow infaunal,"fast, motile",miner,hemocyanin,non-broadcaster,chitin,moderate carbonate load
Arthropoda,Malacostraca,Decapoda,Callianassidae,Protocallianassa,41.3,93.5,0,13,9,4,3,shallow infaunal,"fast, motile",miner,hemocyanin,non-broadcaster,chitin,moderate carbonate load
